,ID,CAP,Età,Data_evento_1,Feat_A_1,Feat_A_2,Feat_A_3,Feat_A_4,Feat_A_5,Feat_A_6,Data_evento_2,Feat_B_1,Feat_B_2,Feat_B_3,Feat_B_4,Feat_B_5,Feat_B_6,Target_1,Feat_C_1,Feat_C_2,Feat_C_3,Feat_C_4,Feat_C_6,Feat_C_5,Target_2
1347,1347,00186,41.0,13530672000.0,2.65,2.02,4.32,432.0,14.990400000000001,7.420990099009901,13530585600.0,2.2,7.2,240.0,528.0,0.5,95.04,0.0,15.2,16.3,31.5,6.74846625766872,0.0,0.0,0.0
1348,1348,,,13411440000.0,,,,,,,,,,,,,,,17.9,15.5,33.4,13.407821229050274,1.5,0.0,0.0
1349,1349,00126,36.0,13445654400.0,10.9,8.42,5.51,551.0,19.1197,2.270748218527316,13433817600.0,1.5,7.4,3.5,5.25,0.3,0.0315,0.0,9.0,8.7,17.7,3.333333333333341,0.0,0.0,0.0
1350,1350,,,13357699200.0,,,7.17,717.0,24.879900000000003,,,4.0,7.6,58.0,232.0,1.6,33.408,0.0,21.0,21.0,42.0,0.0,0.0,0.0,0.0
1351,1351,,54.0,13497753600.0,,3.55,3.13,313.0,10.8611,3.0594647887323947,13497753600.0,,,,,,,,9.8,18.1,27.900000000000002,45.85635359116022,2.5,0.0,0.0
1352,1352,,,13409539200.0,,,,,,,,,,,,,,,7.0,8.0,15.0,12.5,0.0,0.0,0.0
1353,1353,,,13551840000.0,,,,,,,,,,,,,,,20.7,18.5,39.2,10.628019323671495,0.0,0.0,0.0
1354,1354,,,13352860800.0,,,,,,,,,,,,,,,10.0,9.0,19.0,10.0,0.0,0.0,0.0
1355,1355,00154,20.0,13589251200.0,0.6,4.14,5.75,575.0,19.9525,4.819444444444445,13589251200.0,6.4,7.4,0.1,0.64,0.3,0.0,0.0,22.2,22.3,44.5,0.44843049327354895,2.0,0.0,0.0
1356,1356,,,13453171200.0,,,,,,,,,,,,,,,16.6,14.7,31.3,11.445783132530133,1.5,0.0,0.0
1357,1357,00048,31.0,13474944000.0,8.25,2.91,7.51,751.0,26.0597,8.955223367697593,13474944000.0,,,,,,,,8.3,8.3,16.6,0.0,0.0,0.0,0.0
1358,1358,00054,46.0,13546915200.0,4.61,2.64,5.38,538.0,18.6686,7.071439393939394,13546915200.0,2.6,7.3,50.0,130.0,0.3,16.25,0.0,12.4,18.0,30.4,31.11111111111111,0.0,0.0,0.0
1359,1359,,,13463452800.0,,,,,,,,,,,,,,,15.5,17.0,32.5,8.823529411764707,2.0,0.0,0.0
1360,1360,NA,33.0,13381891200.0,3.16,1.89,3.89,389.0,13.4983,7.141957671957672,13381891200.0,2.2,7.3,15.0,33.0,0.5,2.178,0.0,9.0,7.0,16.0,22.22222222222222,2.0,0.0,0.0
1361,1361,00033,68.0,13424140800.0,1.07,2.68,6.91,691.0,23.977700000000002,8.946902985074628,13431830400.0,0.5,6.6,32.0,16.0,0.9,0.0,0.0,16.6,20.6,37.2,19.41747572815534,1.5,0.0,0.0
1362,1362,00174,22.0,13433904000.0,1.3,4.91,7.63,763.0,26.476100000000002,5.392281059063137,13401590400.0,1.2,7.6,3.0,3.6,0.3,0.0864,0.0,21.2,19.2,40.4,9.433962264150944,0.0,1.0,0.0
1363,1363,,,13403318400.0,,,,,,,,,,,,,,,14.3,14.1,28.4,1.398601398601406,0.0,0.0,0.0
1364,1364,,,13526870400.0,,,,,,,,,,,,,,,21.9,16.7,38.599999999999994,23.74429223744292,0.0,0.0,0.0
1365,1365,,,13445308800.0,,,,,,,,,,,,,,,21.9,24.5,46.4,10.612244897959188,1.5,0.0,0.0
1366,1366,,,13362537600.0,,,,,,,,,,,,,,,14.0,10.0,24.0,28.57142857142857,4.0,0.0,0.0
1367,1367,00159,45.0,13509417600.0,1.91,2.94,7.54,754.0,26.163800000000002,8.899251700680272,13509417600.0,,,,,,,,16.5,12.0,28.5,27.27272727272727,4.0,0.0,0.0
1368,1368,,,13464144000.0,,,,,,,,,,,,,,,15.1,16.4,31.5,7.9268292682926775,4.0,1.0,0.0
1369,1369,NA,,13445308800.0,2.36,3.08,6.51,651.0,22.5897,7.3343181818181815,,,,,,,,,14.5,13.4,27.9,7.5862068965517215,2.5,0.0,0.0
1370,1370,,,13454467200.0,,,,,,,,,,,,,,,14.2,15.9,30.1,10.691823899371075,2.5,0.0,0.0
1371,1371,00168,37.0,13552444800.0,3.8,2.6,4.79,479.0,16.6213,6.392807692307692,13553395200.0,3.2,7.4,38.0,121.60000000000001,0.4,14.713600000000003,0.0,14.5,12.3,26.8,15.172413793103443,0.0,0.0,0.0
1372,1372,00139,40.0,13478659200.0,31.39,10.63,4.84,484.0,16.794800000000002,1.5799435559736597,13479868800.0,,,,,,,,5.5,6.0,11.5,8.333333333333332,0.0,0.0,0.0
1373,1373,00047,60.0,13444444800.0,28.34,8.9,3.19,319.0,11.0693,1.2437415730337078,13431830400.0,5.0,7.2,0.0,0.0,0.2,0.0,1.0,8.2,8.6,16.799999999999997,4.651162790697678,3.0,0.0,0.0
1374,1374,,,13462329600.0,,,,,,,,,,,,,,,16.6,11.9,28.5,28.313253012048197,3.0,0.0,0.0
1375,1375,,,13339900800.0,,,,,,,,,,,,,,,22.0,17.0,39.0,22.727272727272727,1.0,0.0,0.0
1376,1376,,,13443321600.0,,,,,,,,,,,,,,,14.8,12.2,27.0,17.567567567567576,4.0,0.0,0.0
